id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
66c7n8ZXmYQQeXyNVfiArc,0.533,0.437,3,-7.659,0,0.162,0.885,0,0.106,0.48,143.263,234411,3,-1,1
16R8t4bIoFrzxZm3ds4isv,0.737,0.255,9,-12.293,1,0.0605,0.767,1.13e-05,0.0998,0.164,130.017,260867,4,-1,1
6HRagoeRYMUbNny39cbMa9,0.849,0.25,1,-12.02,1,0.0357,0.117,0.375,0.106,0.559,104.978,186000,4,-1,1
2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,208687,4,-1,1
6y6jbcPG4Yn3Du4moXaenr,0.63,0.5,1,-8.755,0,0.0611,0.611,4.04e-05,0.114,0.315,144.871,245172,4,-1,1
4CCe846xVRd9p31gc6dMza,0.43,0.36,0,-8.909,1,0.036,0.905,0,0.0967,0.247,97.852,216606,4,-1,1
3e7GmBLZYoOGLlOqIokHp0,0.623,0.428,1,-11.113,1,0.0282,0.412,0.126,0.0882,0.36,134.931,208867,4,-1,1
5JkUNbYSn06ghlmu0NRUMf,0.445,0.357,7,-9.163,1,0.0445,0.153,0,0.356,0.159,147.062,186463,4,-1,1
1Kz5Mgnf6fpjlrx2Rsjy0x,0.533,0.597,5,-9.18,1,0.0368,0.0217,0.638,0.145,0.286,90.074,192589,4,-1,1
5c8lzZGPbmVu6sLQOA5WoU,0.607,0.533,6,-6.188,0,0.136,0.47,0.0136,0.12,0.321,160.138,215748,4,-1,1
5OO3FvjO1nbyhR9q6Q1fqw,0.395,0.128,7,-9.413,1,0.0416,0.931,8.27e-06,0.0918,0.153,119.393,218159,4,-1,1
42H6GeQfrBkT3vTUTdpB1M,0.646,0.0828,10,-16.205,1,0.0435,0.838,1.2e-05,0.0934,0.293,108.826,154000,4,-1,1
2cChGJujJ0EM0vIvKr6AY4,0.695,0.619,3,-10.625,0,0.0446,0.537,0,0.318,0.666,105.017,158286,4,-1,1
4ackKWF1vNbiK2msFY2luc,0.778,0.207,10,-14.155,1,0.104,0.762,0.00477,0.0879,0.377,76.979,261818,4,-1,1
3u5bTqHMM1P34ZkbwzdckV,0.614,0.126,9,-9.403,1,0.0376,0.911,0,0.148,0.351,119.945,229029,4,-1,1
0ecC8p17cDNlxHXkuYqeR6,0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,183103,5,-1,1
7EkMIQ2PzEzwQroLl6dUvw,0.503,0.212,0,-12.735,0,0.0658,0.872,0.000293,0.12,0.185,118.492,232412,4,-1,1
2KX7ZC9JL8BAeFnCrcVRHE,0.387,0.375,3,-9.172,1,0.273,0.822,0.000154,0.109,0.418,73.045,140720,4,-1,1
6gNJFEFNY9SMqnNep3oY9o,0.784,0.594,1,-5.996,0,0.0458,0.176,0,0.379,0.206,136.986,150589,4,-1,1
4WzhjxvLP95y7AMDy0Atwb,0.481,0.267,7,-9.249,1,0.0339,0.8,0,0.249,0.137,117.64,227693,3,-1,1
4jnO4ztskhv3YkqgFnewtD,0.654,0.235,2,-11.292,0,0.159,0.819,0,0.0891,0.061,88.903,240000,4,-1,1
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4,-1,1
6rcv7Qp3dI5fa9ARMp7k1B,0.668,0.549,1,-8.618,0,0.0793,0.181,1.25e-06,0.0819,0.323,107.382,208542,4,-1,1
1InPL1Qm8qJC3FIIvFruNt,0.639,0.439,3,-8.809,1,0.0478,0.803,0.000967,0.122,0.274,147.939,217440,4,-1,1
1DoECePnMuLtpLQSCZqwtK,0.652,0.483,8,-9.964,0,0.291,0.658,0,0.393,0.372,75.987,134881,4,-1,1
0D2xguFRqCF0OUqXCkqrpU,0.407,0.317,10,-7.895,1,0.0429,0.845,2.66e-06,0.139,0.216,81.899,269493,4,-1,1
285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,239836,4,-1,1
3bne7Qit5AbHkX6kWDItYP,0.499,0.181,9,-15.359,0,0.0429,0.745,0.00123,0.106,0.0747,111.956,214533,4,-1,1
6CcJMwBtXByIz4zQLzFkKc,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,-1,1
0K4gxQ2u3545b0GAu85ObO,0.685,0.23,0,-12.525,0,0.0388,0.367,0.000971,0.101,0.0417,96.085,165000,4,-1,1
4PV0uE5pZSh44E3NqNNDEH,0.375,0.461,9,-6.202,1,0.0279,0.627,0,0.386,0.233,75.217,223270,4,-1,1
45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266,4,-1,1
5HsSsEeP3hU9QSfHZrzbtA,0.55,0.147,0,-18.675,0,0.0404,0.563,0.00102,0.286,0.0346,81.991,201951,4,-1,1
